Country,Rail,Cars,Buses,Total PASKM,Rail%,Cars%,Buses%
Australia,17814,281437,22109,321360,5.543315907,87.57686084,6.879823251
Czechia,10931,81179,10547,102657,10.6480805,79.07790019,10.27401931
Finland,4924,66800,7900,79624,6.184065106,83.89430323,9.921631669
France,112309,845385,60957,1018651,11.02526773,82.99064154,5.984090724
Germany,102026,902600,78852,1083478,9.416527147,83.30579855,7.277674304
Hungary,7752,67034,18722,93508,8.290199769,71.68798392,20.02181632
Italy,56586,732429,104293,893308,6.334433365,81.990646,11.67492063
Japan,435063,844042,61301,1340406,32.45755391,62.96913025,4.573315846
Korea,100381,289099,98858,488338,20.55563974,59.20059467,20.24376559
New Zealand,773,50335,1171,52279,1.478605176,96.2814897,2.239905124
Norway,3715,55924,6717,66356,5.598589427,84.27873892,10.12267165
Poland,22056,232255,36236,290547,7.59119867,79.93715303,12.4716483
Slovak Republic,4093,28616,6187,38896,10.52293295,73.5705471,15.90651995
Spain,28835,342005,33250,404090,7.135786582,84.63584845,8.228364968
Sweden,14617,95621,10871,121109,12.06929295,78.95449554,8.976211512
Switzerland,21737,97852,7714,127303,17.07501002,76.86543129,6.059558691
United Kingdom,70959,737555,32639,841153,8.435920695,87.6838102,3.880269107
United States,33151,6060622,613443,6707216,0.494258721,90.359726,9.146015277
Azerbaijan,544,1550,24400,26494,2.053295086,5.850381218,92.0963237
Croatia,734,25372,4022,30128,2.436271907,84.21402018,13.34970791
Kazakhstan,17700,79205,181376,278281,6.360477359,28.46223781,65.17728483
North Macedonia,62,9703,2028,11793,0.525735606,82.27762232,17.19664208
